class,precision,recall,f1,n_test
allergic contact dermatitis,0.5555555555555556,0.8333333333333334,0.6666666666666666,6
basal cell carcinoma,0.6666666666666666,0.5641025641025641,0.6111111111111112,39
dariers disease,0.5333333333333333,0.7272727272727273,0.6153846153846154,11
ehlers danlos syndrome,0.7142857142857143,0.8333333333333334,0.7692307692307693,6
erythema multiforme,0.625,0.8333333333333334,0.7142857142857143,6
folliculitis,0.6363636363636364,0.4666666666666667,0.5384615384615384,15
granuloma annulare,0.3333333333333333,0.2857142857142857,0.3076923076923077,7
granuloma pyogenic,0.75,0.75,0.75,4
hailey hailey disease,0.9333333333333333,0.9333333333333333,0.9333333333333333,15
kaposi sarcoma,0.36363636363636365,0.6666666666666666,0.47058823529411764,6
keloid,0.6,1.0,0.75,3
lichen planus,0.71875,0.6571428571428571,0.6865671641791045,35
lupus erythematosus,0.4827586206896552,0.875,0.6222222222222222,16
melanoma,0.5454545454545454,0.46153846153846156,0.5,13
mycosis fungoides,0.9090909090909091,0.7692307692307693,0.8333333333333334,13
myiasis,0.6666666666666666,0.3333333333333333,0.4444444444444444,6
nematode infection,0.7,0.7368421052631579,0.717948717948718,19
neutrophilic dermatoses,0.5882352941176471,0.7692307692307693,0.6666666666666666,13
photodermatoses,0.6363636363636364,0.875,0.7368421052631579,8
pityriasis rosea,0.7222222222222222,0.9285714285714286,0.8125,14
psoriasis,0.9090909090909091,0.625,0.7407407407407407,16
scabies,0.7777777777777778,0.3333333333333333,0.4666666666666667,21
scleroderma,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
squamous cell carcinoma,0.6363636363636364,0.4375,0.5185185185185185,32
tungiasis,0.7619047619047619,1.0,0.8648648648648649,16
vitiligo,0.42857142857142855,0.5,0.46153846153846156,6
